Catégorie,Définition Catégorie,Sous-Catégorie,Compte,Définition Sous-Catégorie
Actif,"Un actif est un bien ou un droit que possède une entreprise, qui peut générer des revenus ou de la valeur future.

1. Un bâtiment utilisé pour les opérations de l'entreprise. 2. Des équipements de production comme des machines. 3. Des véhicules pour la livraison des produits. 4. Des stocks de marchandises à vendre. 5. Des brevets ou des droits de propriété intellectuelle. 6. Des comptes clients, représentant l'argent dû par les clients. 7. Des investissements financiers dans d'autres entreprises. 8. Des terrains possédés par l'entreprise. 9. Des ordinateurs et des logiciels utilisés au travail. 10. Des meubles de bureau. 11. Des dépôts bancaires. 12. Des contrats à long terme qui génèrent des revenus. 13. Des droits d'utilisation d'une propriété. 14. Des œuvres d'art possédées par l'entreprise. 15. Des licences pour exploiter certaines technologies.",Petite caisse,1000,Ce compte enregistre les liquidités détenues en petite caisse par l'entreprise.
Actif,"Les actifs sont des biens ou des ressources possédés par une entreprise, qui ont de la valeur et peuvent être utilisés pour générer des revenus.

1. Un immeuble utilisé comme bureau par une entreprise. 2. Du matériel informatique comme des ordinateurs et des serveurs. 3. Un véhicule de livraison pour le transport des produits. 4. Des stocks de marchandises en attente de vente. 5. Des brevets ou des droits d'auteur qui apportent des revenus. 6. Des investissements financiers dans d'autres sociétés. 7. Des comptes bancaires avec des fonds disponibles. 8. Des machines utilisées dans un processus de production. 9. Des terrains appartenant à l'entreprise. 10. Un mobilier de bureau comme des chaises et des tables. 11. Des équipements de fabrication nécessaires à la production. 12. Des logiciels achetés pour améliorer la productivité. 13. Des créances clients, représentant l'argent dû à l'entreprise. 14. Des licences d'exploitation pour utiliser des technologies spécifiques. 15. Des œuvres d'art possédées par l'entreprise et pouvant être vendues.",Banque,1010,Ce compte enregistre les fonds détenus en banque.
Actif,"Les actifs sont des ressources possédées par une entreprise, qui ont de la valeur et peuvent générer des bénéfices à l'avenir.

1. Un bâtiment utilisé comme bureau. 2. Des machines pour la production. 3. Un véhicule de livraison. 4. Des stocks de marchandises à vendre. 5. Des brevets technologiques. 6. Des meubles de bureau. 7. Des ordinateurs et équipements électroniques. 8. De l'argent en banque. 9. Des investissements dans d'autres entreprises. 10. Des terrains détenus par l'entreprise. 11. Des créances clients (argent à recevoir). 12. Des logiciels achetés pour le fonctionnement. 13. Des œuvres d'art ou objets de valeur. 14. Des droits d'utilisation de propriété intellectuelle. 15. Des licences et permis nécessaires à l'activité.",Comptes à recevoir,1020,Ce compte enregistre les créances clients.
Actif,"Un actif est un bien ou un droit possédé par une entreprise, qui a de la valeur et peut être utilisé pour générer des revenus.

1. Un bâtiment utilisé pour les opérations de l'entreprise. 2. Des machines et équipements pour la production. 3. Des véhicules pour la livraison des produits. 4. Des stocks de marchandises prêts à être vendus. 5. Des brevets qui protègent des inventions. 6. Des comptes à recevoir provenant de clients. 7. Des investissements dans d'autres entreprises. 8. Des terrains détenus par l'entreprise. 9. De l'argent liquide dans la caisse de l'entreprise. 10. Des logiciels achetés pour améliorer la productivité. 11. Des meubles et fournitures de bureau. 12. Des droits d'auteur sur des créations artistiques. 13. Des dépôts de garantie pour des contrats de location. 14. Des actions détenues dans d'autres sociétés. 15. Des équipements informatiques comme des ordinateurs et serveurs.",Provision pour créances douteuses,1030,Ce compte enregistre les provisions pour créances douteuses.
Actif,"L'actif représente tout ce que possède une entreprise et qui a de la valeur. Cela inclut les biens, les droits et les ressources qui peuvent générer des bénéfices.

1. Un bâtiment utilisé par l'entreprise. 2. Des machines pour la production. 3. Un véhicule de livraison. 4. Des stocks de marchandises. 5. Des comptes bancaires avec des fonds. 6. Des brevets ou des droits d'auteur. 7. Des créances clients (argent à recevoir). 8. Des équipements informatiques. 9. Des terrains. 10. Des logiciels d'entreprise. 11. Des investissements dans d'autres entreprises. 12. Des meubles et des agencements de bureau. 13. Des fournitures de bureau en stock. 14. Des contrats à long terme avec des clients. 15. Des actifs immatériels, comme la réputation de la marque.",Stocks - matières premières,1040,Ce compte enregistre la valeur des matières premières détenues par l'entreprise.
Actif,"Un actif est une ressource possédée par une entreprise qui a de la valeur et peut générer des bénéfices futurs.

1. Une machine utilisée pour produire des biens. 2. Un bâtiment où l'entreprise opère. 3. Des stocks de marchandises en vente. 4. Des ordinateurs et équipements informatiques. 5. Des brevets qui protègent des inventions. 6. Des véhicules utilisés pour les livraisons. 7. Un logo ou une marque enregistrée. 8. Des investissements dans d'autres entreprises. 9. Des comptes bancaires avec des liquidités. 10. Des créances clients, c'est-à-dire de l'argent à recevoir. 11. Des terrains appartenant à l'entreprise. 12. Des logiciels achetés pour le fonctionnement de l'entreprise. 13. Des meubles de bureau. 14. Des équipements de sécurité. 15. Des contrats à long terme avec des clients.",Stocks - produits en cours,1060,Ce compte enregistre la valeur des produits en cours de fabrication.
Actif,"Un actif est tout bien ou ressource possédé par une entreprise, qui a de la valeur et peut être utilisé pour générer des revenus.

1. Un bâtiment utilisé comme bureau par l'entreprise. 2. Des machines utilisées pour produire des biens. 3. Un véhicule de livraison appartenant à l'entreprise. 4. Du matériel informatique comme des ordinateurs et des serveurs. 5. Des stocks de produits à vendre. 6. Des brevets ou droits d'auteur que l'entreprise possède. 7. Des terrains et propriétés immobilières. 8. Des investissements dans d'autres entreprises. 9. De l'argent liquide disponible dans les comptes de l'entreprise. 10. Des créances clients, c'est-à-dire des montants dus par les clients. 11. Des logiciels achetés pour les opérations de l'entreprise. 12. Des contrats de location de locaux ou d'équipements. 13. Des œuvres d'art possédées par l'entreprise. 14. Des licences ou certificats nécessaires pour opérer. 15. De l'inventaire de fournitures de bureau.",Stocks - produits finis,1080,Ce compte enregistre la valeur des produits finis destinés à la vente.
Actif,"Un actif est un bien ou un droit possédé par une entreprise, ayant une valeur économique et pouvant contribuer à générer des revenus.

1. Un bâtiment utilisé pour les opérations de l'entreprise. 2. Un véhicule de livraison appartenant à l'entreprise. 3. Un ordinateur utilisé par les employés. 4. Des stocks de marchandises à vendre. 5. Des brevets qui protègent des inventions. 6. Des investissements en actions d'autres entreprises. 7. Des comptes clients, représentant de l'argent à recevoir. 8. Un terrain acheté pour construire un nouveau bureau. 9. Des logiciels achetés pour améliorer la productivité. 10. Des meubles de bureau comme des bureaux et des chaises. 11. De l'équipement industriel utilisé pour la fabrication. 12. Des droits d'auteur sur des œuvres créatives. 13. Des dépôts bancaires qui peuvent être utilisés à tout moment. 14. Des actions de société qui peuvent être revendues. 15. Une franchise accordée pour vendre des produits ou services.",Avances sur commissions,1100,Ce compte enregistre les avances accordées sur commissions.
Actif,"Les actifs sont les biens et ressources que possède une entreprise, qui peuvent être utilisés pour générer des revenus.

1. Un bâtiment utilisé pour les opérations de l'entreprise.
2. Des machines de production dans une usine.
3. Des véhicules utilisés pour la livraison de produits.
4. Des ordinateurs et équipements de bureau.
5. Un stock de marchandises à vendre.
6. Des brevets et droits de propriété intellectuelle.
7. Des investissements dans d'autres entreprises.
8. Des terrains détenus par l'entreprise.
9. Des meubles et agencements dans un bureau.
10. Des logiciels achetés pour le fonctionnement de l'entreprise.
11. Des comptes clients représentant des ventes à crédit.
12. Des liquidités disponibles sur le compte bancaire de l'entreprise.
13. Des matières premières pour la production.
14. Des œuvres d'art ou objets de valeur appartenant à l'entreprise.
15. Des dépôts de garantie pour des contrats ou locations.",Avances aux employés,1120,Ce compte enregistre les avances de fonds accordées aux employés.
Actif,"Un actif est une ressource détenue par une entreprise qui a de la valeur et peut générer des bénéfices futurs. Les actifs peuvent être tangibles (physiques) ou intangibles (non physiques).

1. Un bâtiment utilisé pour les opérations de l'entreprise.
2. Des machines de production dans une usine.
3. Des véhicules de livraison pour transporter des marchandises.
4. Un ordinateur utilisé par un employé pour ses tâches.
5. Des stocks de produits prêts à être vendus.
6. Des brevets qui protègent des inventions.
7. Des logiciels utilisés dans les opérations de l'entreprise.
8. De l'argent en banque pour financer les activités.
9. Un terrain où l'entreprise projette de construire un nouveau bâtiment.
10. Des créances, c'est-à-dire des montants dus par des clients.
11. Des investissements dans d'autres entreprises.
12. Des meubles de bureau comme des tables et des chaises.
13. Des équipements informatiques tels que des serveurs.
14. Un portefeuille d'actions détenu par l'entreprise.
15. Des droits d'auteur sur des œuvres créatives produites par l'entreprise.",Avances aux actionnaires,1140,Ce compte enregistre les avances de fonds accordées aux actionnaires.
